PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
272335	13	10405	AHI	123	1	201210
280228	13	10405	AHI	123	1	201210
280958	13	10405	AHI	123	1	201210
301259	15	10405	AHI	123	1	201210
301578	14	10405	AHI	123	1	201210
303273	14	10405	AHI	123	1	201210
311382	15	10405	AHI	123	1	201210
315676	14	10405	AHI	123	1	201210
316173	14	10405	AHI	123	1	201210
316318	14	10405	AHI	123	1	201210
317935	14	10405	AHI	123	1	201210
318665	15	10405	AHI	123	1	201210
318711	15	10405	AHI	123	1	201210
321518	15	10405	AHI	123	1	201210
322285	15	10405	AHI	123	1	201210
325790	15	10405	AHI	123	1	201210
325905	15	10405	AHI	123	1	201210
326076	15	10405	AHI	123	1	201210
326345	15	10405	AHI	123	1	201210
326798	15	10405	AHI	123	1	201210
327130	15	10405	AHI	123	1	201210
327265	15	10405	AHI	123	1	201210
328014	15	10405	AHI	123	1	201210
329589	15	10405	AHI	123	1	201210
331603	15	10405	AHI	123	1	201210
332340	15	10405	AHI	123	1	201210
332576	15	10405	AHI	123	1	201210
334128	15	10405	AHI	123	1	201210
336663	15	10405	AHI	123	1	201210
336886	15	10405	AHI	123	1	201210
338272	13	10405	AHI	123	1	201210
338499	14	10405	AHI	123	1	201210
348794	14	10405	AHI	123	1	201210
353265	14	10405	AHI	123	1	201210
