PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
299101	14	10870	EDU	223	1	201210
305338	14	10870	EDU	223	1	201210
306744	15	10870	EDU	223	1	201210
309031	15	10870	EDU	223	1	201210
312454	14	10870	EDU	223	1	201210
312980	14	10870	EDU	223	1	201210
316309	14	10870	EDU	223	1	201210
316666	15	10870	EDU	223	1	201210
320095	15	10870	EDU	223	1	201210
320263	15	10870	EDU	223	1	201210
321428	15	10870	EDU	223	1	201210
321565	15	10870	EDU	223	1	201210
321892	15	10870	EDU	223	1	201210
322356	15	10870	EDU	223	1	201210
323150	15	10870	EDU	223	1	201210
323455	15	10870	EDU	223	1	201210
323552	15	10870	EDU	223	1	201210
327126	15	10870	EDU	223	1	201210
328163	15	10870	EDU	223	1	201210
331250	15	10870	EDU	223	1	201210
331919	15	10870	EDU	223	1	201210
334562	15	10870	EDU	223	1	201210
337614	15	10870	EDU	223	1	201210
